Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.84055,3.64055,3.54055,0.0068028,0.0063177,0.008008
2.84055,3.64055,3.64055,0.0069033,0.0064131,0.0083763
2.84055,3.64055,3.74055,0.0070051,0.0065084,0.0087513
2.84055,3.64055,3.84055,0.0071083,0.0066037,0.0091329
2.74055,4.34055,2.74055,0.0068347,0.0054534,0.005301
2.74055,4.34055,2.84055,0.0069446,0.0055492,0.0056161
2.74055,4.34055,2.94055,0.0070553,0.0056451,0.0059379
2.74055,4.34055,3.04055,0.0071669,0.0057409,0.0062663
2.74055,4.34055,3.14055,0.0072794,0.0058368,0.0066013
2.74055,4.34055,3.24055,0.0073928,0.0059326,0.006943
2.74055,4.34055,3.34055,0.0075072,0.0060285,0.0072914
2.74055,4.34055,3.44055,0.0076227,0.0061243,0.0076464
2.74055,4.34055,3.54055,0.0077391,0.0062202,0.008008
2.74055,4.34055,3.64055,0.0078567,0.006316,0.0083763
2.74055,4.34055,3.74055,0.0079755,0.0064118,0.0087513
2.74055,4.24055,2.74055,0.0066984,0.0054534,0.005301
2.74055,4.24055,2.84055,0.0068058,0.0055492,0.0056161
2.74055,4.24055,2.94055,0.0069141,0.005645,0.0059379
2.74055,4.24055,3.04055,0.0070232,0.0057407,0.0062663
2.74055,4.24055,3.14055,0.0071333,0.0058365,0.0066013
2.74055,4.24055,3.24055,0.0072443,0.0059323,0.006943
2.74055,4.24055,3.34055,0.0073563,0.0060281,0.0072914
2.74055,4.24055,3.44055,0.0074693,0.0061239,0.0076464
2.74055,4.24055,3.54055,0.0075834,0.0062197,0.008008
2.74055,4.24055,3.64055,0.0076987,0.0063154,0.0083763
2.74055,4.24055,3.74055,0.0078151,0.0064112,0.0087513
2.74055,4.14055,2.74055,0.0065621,0.0054534,0.005301
2.74055,4.14055,2.84055,0.0066671,0.0055491,0.0056161
2.74055,4.14055,2.94055,0.0067728,0.0056448,0.0059379
2.74055,4.14055,3.04055,0.0068795,0.0057405,0.0062663
2.74055,4.14055,3.14055,0.0069871,0.0058363,0.0066013
2.74055,4.14055,3.24055,0.0070957,0.005932,0.006943
2.74055,4.14055,3.34055,0.0072053,0.0060277,0.0072914
2.74055,4.14055,3.44055,0.007316,0.0061234,0.0076464
2.74055,4.14055,3.54055,0.0074278,0.0062191,0.008008
2.74055,4.14055,3.64055,0.0075407,0.0063149,0.0083763
2.74055,4.14055,3.74055,0.0076549,0.0064106,0.0087513
2.74055,4.04055,2.74055,0.0064259,0.0054534,0.005301
2.74055,4.04055,2.84055,0.0065283,0.005549,0.0056161
2.74055,4.04055,2.94055,0.0066316,0.0056447,0.0059379
2.74055,4.04055,3.04055,0.0067358,0.0057403,0.0062663
2.74055,4.04055,3.14055,0.006841,0.005836,0.0066013
2.74055,4.04055,3.24055,0.0069472,0.0059316,0.006943
2.74055,4.04055,3.34055,0.0070544,0.0060273,0.0072914
2.74055,4.04055,3.44055,0.0071627,0.0061229,0.0076464
2.74055,4.04055,3.54055,0.0072722,0.0062186,0.008008
2.74055,4.04055,3.64055,0.0073828,0.0063142,0.0083763
2.74055,4.04055,3.74055,0.0074947,0.0064099,0.0087513
2.74055,3.94055,2.74055,0.0073346,0.0054534,0.005301
2.74055,3.94055,2.84055,0.0063895,0.005549,0.0056161
2.74055,3.94055,2.94055,0.0064904,0.0056445,0.0059379
2.74055,3.94055,3.04055,0.0065921,0.0057401,0.0062663
2.74055,3.94055,3.14055,0.0066949,0.0058357,0.0066013
